id,ref,year,source,target,task_type,metric,delta,seeds_reported,n_seeds,sd_or_ci_reported,evidence,note
R4-07,UDA for building extraction by style-semantic decoupling (IEEE TGRS 2024 62:4406917; doi 10.1109/TGRS.2024.3387491),2024,LoveDA-Rural,WHU,UDA,IoU,0.243,no,,no,fulltext,"Rural->WHU: MDANet +22.91 points over source-only, this paper a further +1.42 points => +24.3 points (derived from the main text); target within scope, source not; no seed/SD"
R4-S3,Domain-common approximation learning multi-target DA (IEEE TGRS 2024 62:4702916; doi 10.1109/TGRS.2024.3376719),2024,SAB,WHU/Crowd/UBC,UDA (multi-target; instance segmentation),AP,,no,,no,fulltext,"The metric is AP@0.5/mAP (instance segmentation), not IoU/F1 => excluded under the R.4 inclusion criteria; SAB->WHU AP@0.5 +14.4 points vs MemoryAdaptNet; no seed/SD"
R4-S4,Dual-contrast adaptation network (IEEE TGRS 2025 63:5612916; doi 10.1109/TGRS.2025.3542481),2025,LoveDA-Urban/Rural,LoveDA-Rural/Urban,UDA,,,no,,no,fulltext,"Datasets are only LoveDA Urban/Rural, without WHU/Inria/Massachusetts => domain pair out of scope, excluded; no seed/SD"
R4-08,MASDG multiview augmented single-source DG (IEEE TGRS 2025 63:4709915; doi 10.1109/TGRS.2025.3640112),2025,WHU,"SAB/Crowd/UBC/Vaihingen/Massachusetts/Potsdam/Inria (7 target domains)",DG,IoU (relative),0.1002,no,,no,fulltext,"**Relative delta**: WHU->Others mean IoU over seven target domains +10.02% relative to the Rein baseline (main text); per-target absolute values are in an image table and not extractable; the source and some targets (Massachusetts, Inria) are within scope; no seed/SD. Removed separately in the sensitivity analysis as 'relative basis'"
R4-09,STSAMNet UDA + SAM (Int J Digital Earth 2025; doi 10.1080/17538947.2025.2491108),2025,Inria-Austin,WHU,UDA,mIoU,0.170,no,,no,fulltext,"Table 2: Austin->WHU mIoU 0.7369 (source-only) -> 0.9066; also Mass->Austin 0.5295->0.7244 (+0.195) and Mass->WHU 0.6685->0.9011 (+0.233); mIoU includes the background class; domain pair fully within scope; no seed/SD"
R4-10,Yang et al. CDANet edge-enhanced contrastive UDA (Neural Networks 2024 179:106581; doi 10.1016/j.neunet.2024.106581),2024,Inria-Austin,WHU,UDA,mIoU,0.137,no,,no,fulltext,"Table 1: Austin->WHU mIoU 0.7369->0.8738; also Mass->Austin 0.5295->0.6797 (+0.150) and Mass->WHU 0.6685->0.8215 (+0.153); mIoU includes the background class; domain pair fully within scope; no seed/SD"
R4-S8,Supervised DA for off-nadir building extraction (arXiv 2311.03867; 2023–2024),2023,self-built dataset,self-built dataset,SDA,F1,,no,,no,abstract,Domain pair out of scope (self-built off-nadir dataset)
R4-S9,Deep cross-domain building extraction for depth estimation (arXiv 1804.08302),2018,,,,,,no,,no,abstract,Year out of range
R4-S10,DATA domain adaptive transfer attack (arXiv 2004.11819),2020,Inria/WHU/Massachusetts as mutual source/target,,UDA,IoU,,no,,no,abstract,Year out of range (2020); no delta in the abstract
R4-S11,Full-level domain adaptation for building extraction (IEEE TGRS 2021),2021,,,UDA,,,no,,no,snippet,Year out of range
# 2026-09-13: 2023-2026 candidates added from the first B13 list (a list reconstructed by the authors with GPT, not a real export; used only as a screening aid, never as a citation source); full text not read, not included
R4-S12,Hybrid object-based augmentation and histogram matching for cross-domain building segmentation (Applied Sciences 2026; doi 10.3390/app16010543),2026,,,augmentation,,,no,,no,snippet,"From the reconstructed B13 list; not verified, not read"
R4-S13,Fine-tuning-based transfer learning for off-nadir building extraction (Remote Sensing 2025; doi 10.3390/rs17071251),2025,,,SDA,,,no,,no,snippet,"From B13; self-built off-nadir data, domain pair most likely out of scope; not read"
R4-S14,Domain-adaptive building extraction using shape and position (Journal of Remote Sensing 2025),2025,,,UDA,,,no,,no,snippet,"From B13; no DOI; not read"
R4-S15,Multimodal co-learning DA for building extraction (JURSE 2023; doi 10.1109/JURSE57346.2023.10144187),2023,,,DA (2D-3D),,,no,,no,abstract,"Seen in OpenAlex; no delta in the abstract"
R4-S16,Weakly supervised DA for building extraction (Systems Engineering and Electronics 2023; doi 10.12305/j.issn.1001-506X.2023.06.04),2023,,,WSDA,,,no,,no,snippet,"From B13; Chinese-language journal; not read"
# 2026-09-13 evening: real B13 Scholar export (obtained by the authors with Gemini computer-use; inbox/B13_scholar_query{1,2}.bib, 2x60 records): screened by title/abstract (OpenAlex/Crossref abstracts); 40 topically relevant, 11 of them already in the table; 1 new inclusion (abstract level) + 8 screened out
R4-11,Yang et al. WCMNet wavelet-guided CNN–Mamba UDA (Remote Sensing 2026 18(13):2265; doi 10.3390/rs18132265),2026,WHU/Massachusetts/Potsdam,WHU/Massachusetts/Potsdam,UDA,IoU,0.2735,no,,no,abstract,"Abstract: six cross-domain tasks (pairs of WHU/Massachusetts/Potsdam), IoU improvement over the strongest compared method 'up to 27.35 pp'; the maximum is recorded under the abstract-level rule, the mean awaits the full text; the domain pairs include WHU<->Massachusetts, within scope; no seed/SD mentioned in the abstract; full text to be downloaded by the authors (MDPI, B14)"
R4-S17,"Deng et al. GAPL-SegNet (IEEE TGRS 2025 63:5653716; doi 10.1109/TGRS.2025.3633779) [the present authors' own method paper; the origin of arm C on this test bed]",2025,WHU/Inria,Inria/WHU/Massachusetts,source-only,IoU,,yes,5,yes,fulltext,"Screened out: the cross-domain results of Table VI report only the absolute IoU of the method (WHU->Inria 51.68, Inria->WHU 53.71, ->Mass 12.43/41.45), no target-domain delta relative to a baseline; in-domain 5 independent runs with mean +/- SD and 95% CI, cross-domain a single run; conflict of interest, disclosed as such (published version, read-only local copy)"
R4-S18,Wang/Ji/Zhang cross-domain instance segmentation by center point feature alignment (IEEE TGRS 2023; doi 10.1109/TGRS.2023.3301648),2023,,,UDA (instance segmentation),IoU,,no,,no,abstract,"Screened out (to be checked): instance-segmentation basis; the abstract reports '+9.5 IoU over the current best method' without naming the domain pair; could be included if the full text shows a domain pair within scope"
R4-S19,Chen et al. training-free vision foundation model synergy framework (IEEE JSTARS 2026; doi 10.1109/JSTARS.2026.3715168),2026,none,WHU/WHU-Mix/Inria,zero-shot (no source-domain training),F1,,no,,no,abstract,"Screened out: no 'source-domain training -> target domain' setting; reports only absolute F1 and compares with unsupervised methods"
R4-S20,Yue & Zhao super-resolution for cross-domain building extraction (ISPRS Annals X-1/W1-2023:153; doi 10.5194/isprs-annals-X-1-W1-2023-153-2023),2023,,,SR+source-only,,,no,,no,abstract,"Screened out (to be checked): no dataset and no delta in the abstract; open access, the full text could be added (B15)"
R4-S21,Parusinski et al. generalizing building extraction models to unseen datasets using source domain transfer (IGARSS 2022),2022,,,,,,no,,no,snippet,"Screened out: 2022, outside the 2023-2026 window"
R4-S22,Yuan et al. self-training with benchmark dataset and stereo-DSM (IEEE JSTARS 2024; doi 10.1109/JSTARS.2024.3412369),2024,Potsdam/Vaihingen,WorldView-2,semi-supervised,Jaccard,,no,,no,abstract,Screened out: the domain pair does not include WHU/Inria/Massachusetts (abstract delta +0.089-0.214 only as side evidence)
R4-S23,Wang et al. RSBuilding foundation model (IEEE TGRS 2024; doi 10.1109/TGRS.2024.3439395),2024,245k mixed training,multiple,foundation model zero-shot,,,no,,no,abstract,"Screened out: multi-source joint training, not single-source -> target"
R4-S24,TBFH total-building-focused hybrid dataset (Remote Sensing 2025; doi 10.3390/rs17132316),2025,,,joint training,,,no,,no,abstract,"Screened out: dataset / joint-training paper, no cross-domain delta"
